Date,Opp,Car,RusYds,RusTD,ExpRun,Rec,RecYds,RecTD,ExpRec
2024-08-31,Akron,0,0,0,0,6,92,2,1
2024-09-07,Western Michigan,0,0,0,0,5,119,1,1
2024-09-21,Marshall,0,0,0,0,3,70,1,0
2024-09-28,Michigan State,1,19,1,1,5,83,1,1
2024-10-05,Iowa,1,14,0,0,4,89,1,0
2024-10-12,Oregon,0,0,0,0,9,100,1,1
2024-10-26,Nebraska,0,0,0,0,3,70,1,1
2024-11-02,Penn State,0,0,0,0,4,55,0,0
2024-11-09,Purdue,0,0,0,0,6,87,1,1
2024-11-16,Northwestern,1,2,0,0,4,100,0,1
2024-11-23,Indiana,1,12,0,0,3,34,0,0
2024-11-30,Michigan,0,0,0,0,5,35,1,0
2024-12-22,Tennessee,0,0,0,0,6,103,2,2
2025-01-01,Oregon,1,5,0,0,7,187,2,3
2025-01-11,Texas,0,0,0,0,1,3,0,0
2025-01-21,Notre Dame,1,-5,0,0,5,88,1,1
