Date,Opponent,Team_Trips,Team_TDs,Team_FGs,Team_Conv,Pl_Opps,Pl_Yds,Pl_TDs
2024-08-31,Akron,5,4,0,80%,2,25,2
2024-09-07,Western Michigan,5,4,0,80%,0,0,0
2024-09-21,Marshall,10,5,0,50%,0,0,0
2024-09-28,Michigan State,9,5,1,67%,3,42,2
2024-10-05,Iowa,9,5,0,56%,0,0,0
2024-10-12,Oregon,10,6,2,80%,1,6,1
2024-10-26,Nebraska,5,2,0,40%,0,0,0
2024-11-02,Penn State,5,0,1,20%,0,0,0
2024-11-09,Purdue,8,5,0,62%,1,17,1
2024-11-16,Northwestern,8,4,1,62%,1,2,0
2024-11-23,Indiana,8,6,0,75%,1,0,0
2024-11-30,Michigan,9,2,2,44%,1,10,1
2024-12-22,Tennessee,6,4,1,83%,0,0,0
2025-01-01,Oregon,4,3,1,100%,0,0,0
2025-01-11,Texas,4,4,0,100%,0,0,0
2025-01-21,Notre Dame,8,5,1,75%,1,8,1
