Date,Opponent,Team_Snaps,Touches,Touch_Share,Yards
2024-08-31,Akron,70,6,8.6%,92
2024-09-07,Western Michigan,76,5,6.6%,119
2024-09-21,Marshall,68,0,0.0%,0
2024-09-28,Michigan State,78,6,7.7%,102
2024-10-05,Iowa,71,0,0.0%,0
2024-10-12,Oregon,76,9,11.8%,100
2024-10-26,Nebraska,49,3,6.1%,70
2024-11-02,Penn State,67,4,6.0%,55
2024-11-09,Purdue,69,6,8.7%,88
2024-11-16,Northwestern,58,5,8.6%,102
2024-11-23,Indiana,58,4,6.9%,46
2024-11-30,Michigan,63,5,7.9%,35
2024-12-22,Tennessee,70,6,8.6%,103
2025-01-01,Oregon,60,7,11.7%,149
2025-01-11,Texas,65,1,1.5%,3
2025-01-21,Notre Dame,67,6,9.0%,83
