Date,Opponent,Team_Snaps,Touches,Usage_%,Yards
2024-08-31,Akron,150,6,4.0%,92
2024-09-07,Western Michigan,135,5,3.7%,119
2024-09-21,Marshall,149,0,0.0%,0
2024-09-28,Michigan State,153,6,3.9%,102
2024-10-05,Iowa,129,0,0.0%,0
2024-10-12,Oregon,157,9,5.7%,100
2024-10-26,Nebraska,135,3,2.2%,70
2024-11-02,Penn State,133,4,3.0%,55
2024-11-09,Purdue,135,6,4.4%,88
2024-11-16,Northwestern,135,5,3.7%,102
2024-11-23,Indiana,132,4,3.0%,46
2024-11-30,Michigan,135,5,3.7%,35
2024-12-22,Tennessee,152,6,3.9%,103
2025-01-01,Oregon,138,7,5.1%,149
2025-01-11,Texas,148,1,0.7%,3
2025-01-21,Notre Dame,143,6,4.2%,83
