Date,Wk,Opp,Car,RusYds,RusTD,Rec,RecYds,RecTD
2024-08-31,1,Texas A&M,14,91,1,1,3,0
2024-09-07,2,Northern Illinois,11,79,1,2,10,0
2024-09-14,3,Purdue,10,109,1,2,18,0
2024-09-21,4,Miami (OH),11,60,1,1,9,0
2024-09-28,5,Louisville,11,34,1,5,27,1
2024-10-12,7,Stanford,6,53,1,1,25,0
2024-10-19,8,Georgia Tech,14,36,1,3,57,0
2024-10-26,9,Navy,12,102,2,1,-2,0
2024-11-10,11,Florida State,9,19,1,1,13,0
2024-11-16,12,Virginia,16,137,2,1,2,0
2024-11-24,13,Army,7,130,2,1,6,1
2024-11-30,14,USC,13,99,1,3,38,0
2024-12-21,1,Indiana,8,108,1,2,18,0
2025-01-02,1,Georgia,6,19,0,1,2,0
2025-01-10,1,Penn State,11,46,1,1,6,0
2025-01-21,1,Ohio State,4,3,0,2,5,0
