Date,Opponent,Spread,Rating,Formatted
2024-08-31,Akron,-50.5,1,Ohio State -50.5
2024-09-07,Western Michigan,-37.5,3,Ohio State -37.5
2024-09-21,Marshall,-40.0,2,Ohio State -40
2024-09-28,Michigan State,-23.5,5,Ohio State -23.5
2024-10-05,Iowa,-17.0,6,Ohio State -17
2024-10-12,Oregon,-3.5,8,Ohio State -3.5
2024-10-26,Nebraska,-25.0,5,Ohio State -25
2024-11-02,Penn State,-3.0,8,Ohio State -3
2024-11-09,Purdue,-37.5,3,Ohio State -37.5
2024-11-16,Northwestern,-28.0,4,Ohio State -28
2024-11-23,Indiana,-10.5,7,Ohio State -10.5
2024-11-30,Michigan,-19.5,6,Ohio State -19.5
2024-12-22,Tennessee,-7.5,8,Ohio State -7.5
2025-01-01,Oregon,-2.5,8,Ohio State -2.5
2025-01-11,Texas,-6.5,8,Ohio State -6.5
2025-01-21,Notre Dame,-8.5,7,Ohio State -8.5
