Date,Opponent,Spread,Rating,Formatted
2024-08-30,Temple,-42.5,1,Oklahoma -42.5
2024-09-07,Houston,-28.0,2,Oklahoma -28
2024-09-14,Tulane,-13.5,4,Oklahoma -13.5
2024-09-21,Tennessee,6.0,7,Tennessee -6
2024-09-28,Auburn,2.0,7,Auburn -2
2024-10-12,Texas,17.0,9,Texas -17
2024-10-19,South Carolina,1.0,6,South Carolina -1
2024-10-26,Ole Miss,19.0,9,Ole Miss -19
2024-11-02,Maine,-37.5,1,Oklahoma -37.5
2024-11-10,Missouri,-3.5,6,Oklahoma -3.5
2024-11-24,Alabama,14.0,9,Alabama -14
2024-12-01,LSU,6.0,7,LSU -6
2024-12-27,Navy,1.0,6,Navy -1
