Date,Wk,Opp,C/ATT,Pct,PasYds,PasTD,Int,Car,RusYds,RusTD
2024-08-31,1,Akron,17/28,60.7,228,3,0,4,18,0
2024-09-07,2,Western Michigan,18/26,69.2,292,1,0,1,6,1
2024-09-21,4,Marshall,16/20,80.0,275,2,1,3,-2,1
2024-09-28,5,Michigan State,21/31,67.7,244,2,1,6,14,1
2024-10-05,6,Iowa,21/25,84.0,209,4,1,10,28,1
2024-10-12,7,Oregon,28/35,80.0,326,2,0,9,13,1
2024-10-26,9,Nebraska,13/16,81.2,221,3,1,8,14,0
2024-11-02,10,Penn State,16/24,66.7,182,2,1,12,24,0
2024-11-09,11,Purdue,21/26,80.8,260,3,0,9,7,1
2024-11-16,12,Northwestern,15/24,62.5,247,2,0,1,0,0
2024-11-23,13,Indiana,22/26,84.6,201,2,1,5,-1,1
2024-11-30,14,Michigan,19/33,57.6,175,1,2,4,10,0
2024-12-22,1,Tennessee,24/29,82.8,311,2,1,5,37,0
2025-01-01,1,Oregon,17/26,65.4,319,3,0,5,-3,0
2025-01-11,1,Texas,24/33,72.7,289,1,1,7,4,0
2025-01-21,1,Notre Dame,17/21,81.0,231,2,0,16,57,0
