Date,Week,Opponent,Rec,Yds,TD
2024-08-31,1,Akron,6,92,2
2024-09-07,2,Western Michigan,5,119,1
2024-09-21,4,Marshall,3,70,1
2024-09-28,5,Michigan State,5,83,1
2024-10-05,6,Iowa,4,89,1
2024-10-12,7,Oregon,9,100,1
2024-10-26,9,Nebraska,3,70,1
2024-11-02,10,Penn State,4,55,0
2024-11-09,11,Purdue,6,87,1
2024-11-16,12,Northwestern,4,100,0
2024-11-23,13,Indiana,3,34,0
2024-11-30,14,Michigan,5,35,1
2024-12-22,1,Tennessee,6,103,2
2025-01-01,1,Oregon,7,187,2
2025-01-11,1,Texas,1,3,0
2025-01-21,1,Notre Dame,5,88,1
