Date,Week,Opponent,Rec,Yds,TD
9999-12-31,1,Akron,6,92,2
9999-12-31,11,Purdue,6,87,1
9999-12-31,9,Nebraska,3,70,1
9999-12-31,10,Penn State,4,55,0
9999-12-31,12,Northwestern,4,100,0
9999-12-31,6,Iowa,4,89,1
9999-12-31,13,Indiana,3,34,0
9999-12-31,14,Michigan,5,35,1
9999-12-31,5,Michigan State,5,83,1
9999-12-31,7,Oregon,9,100,1
9999-12-31,2,Western Michigan,5,119,1
9999-12-31,4,Marshall,3,70,1
9999-12-31,1,Tennessee,6,103,2
9999-12-31,1,Oregon,7,187,2
9999-12-31,1,Texas,1,3,0
9999-12-31,1,Notre Dame,5,88,1
