season,id,name,position,team,conference,avg_all,avg_pass,avg_rush,avg_firstDown,avg_secondDown,avg_thirdDown,avg_standardDowns,avg_passingDowns,ppa_all,ppa_pass,ppa_rush,ppa_firstDown,ppa_secondDown,ppa_thirdDown,ppa_standardDowns,ppa_passingDowns
2024,4429115,Gee Scott Jr.,TE,Ohio State,B1G,0.452,0.452,,0.354,0.304,0.729,0.562,0.252,14.01,14.01,0.0,4.961,3.947,2.187,11.243,2.767
2024,4429955,Will Howard,QB,Ohio State,B1G,0.521,0.575,0.338,0.286,0.557,0.682,0.432,0.694,270.457,245.005,30.733,59.109,88.583,91.415,147.619,122.838
2024,4431498,Jayden Ballard,WR,Ohio State,B1G,0.992,0.992,,,1.39,0.595,1.39,0.595,1.985,1.985,0.0,0.0,1.39,0.595,1.39,0.595
2024,4432710,TreVeyon Henderson,RB,Ohio State,B1G,0.367,0.451,0.347,0.304,0.441,0.41,0.36,0.384,64.883,14.899,49.985,28.619,26.47,8.198,46.853,18.03
2024,4567750,Emeka Egbuka,WR,Ohio State,B1G,0.833,0.927,-0.259,0.526,1.114,0.834,0.731,1.094,83.25,85.325,-2.075,23.677,27.847,22.52,52.605,30.645
2024,4685256,Kojo Antwi,WR,Ohio State,B1G,1.005,1.005,,1.005,,,1.005,,1.005,1.005,0.0,1.005,0.0,0.0,1.005,0.0
2024,4685702,Quinshon Judkins,RB,Ohio State,B1G,0.253,0.278,0.25,0.12,0.298,0.776,0.232,0.346,55.706,7.223,48.483,13.965,24.427,12.419,41.514,14.192
2024,4685706,Bennett Christian,TE,Ohio State,B1G,3.395,3.395,,,0.543,,3.395,,6.789,6.789,0.0,0.0,0.543,0.0,6.789,0.0
2024,4693208,Patrick Gurd,TE,Ohio State,B1G,0.401,0.401,,0.401,,,0.401,,0.401,0.401,0.0,0.401,0.0,0.0,0.401,0.0
2024,4695709,Devin Brown,QB,Ohio State,B1G,0.214,0.243,0.07,-0.327,0.199,0.623,-0.149,0.689,6.426,6.076,0.35,-2.618,2.191,6.853,-2.528,8.954
2024,4870835,Brandon Inniss,WR,Ohio State,B1G,0.884,0.884,,0.453,1.041,0.455,0.387,1.271,14.145,14.145,0.0,1.814,5.203,2.274,2.707,11.438
2024,4870927,Bryson Rodgers,WR,Ohio State,B1G,1.605,1.605,,,1.004,2.205,2.137,1.427,6.419,6.419,0.0,0.0,2.009,4.41,2.137,4.282
2024,4871023,Carnell Tate,WR,Ohio State,B1G,0.947,0.947,,0.801,0.899,1.151,0.674,1.505,57.748,57.748,0.0,20.814,18.888,14.966,27.644,30.104
2024,4871039,Jelani Thurman,TE,Ohio State,B1G,2.289,2.289,,1.438,,2.454,2.289,,6.868,6.868,0.0,1.438,0.0,2.454,6.868,0.0
2024,4880236,Will Kacmarek,TE,Ohio State,B1G,0.746,0.746,,1.061,0.687,0.49,0.775,0.687,4.476,4.476,0.0,2.122,1.375,0.979,3.101,1.375
2024,5079712,Julian Sayin,QB,Ohio State,B1G,0.16,-0.162,1.768,-0.146,-0.914,0.193,1.165,-0.343,1.917,-1.618,3.535,-0.291,-0.914,0.966,4.659,-2.742
2024,5079720,Jeremiah Smith,WR,Ohio State,B1G,1.265,1.323,0.408,0.964,1.027,1.846,1.037,1.623,120.184,117.738,2.446,36.617,29.794,47.988,60.119,60.065
2024,5081804,Mason Maggs,QB,Ohio State,B1G,-0.214,,-0.214,,-0.214,,-0.214,,-0.214,0.0,-0.214,0.0,-0.214,0.0,-0.214,0.0
2024,5081820,David Adolph,WR,Ohio State,B1G,0.553,0.553,,-0.559,,1.664,-0.559,1.664,1.106,1.106,0.0,-0.559,0.0,1.664,-0.559,1.664
2024,5110454,James Peoples,RB,Ohio State,B1G,0.006,-0.786,0.022,-0.065,0.017,0.296,-0.003,0.044,0.293,-0.786,1.078,-1.549,0.363,1.478,-0.108,0.4
2024,5126515,Sam Williams-Dixon,RB,Ohio State,B1G,0.218,,0.218,-0.161,0.856,-0.554,0.271,-0.095,1.529,0.0,1.529,-0.484,2.568,-0.554,1.624,-0.095
