season,playerId,player,position,team,conference,category,statType,stat
2024,4429115,Gee Scott Jr.,TE,Ohio State,Big Ten,receiving,LONG,34
2024,4429115,Gee Scott Jr.,TE,Ohio State,Big Ten,receiving,REC,27
2024,4429115,Gee Scott Jr.,TE,Ohio State,Big Ten,receiving,TD,2
2024,4429115,Gee Scott Jr.,TE,Ohio State,Big Ten,receiving,YDS,253
2024,4429115,Gee Scott Jr.,TE,Ohio State,Big Ten,receiving,YPR,9.4
2024,4429955,Will Howard,QB,Ohio State,Big Ten,receiving,LONG,0
2024,4429955,Will Howard,QB,Ohio State,Big Ten,receiving,REC,1
2024,4429955,Will Howard,QB,Ohio State,Big Ten,receiving,TD,0
2024,4429955,Will Howard,QB,Ohio State,Big Ten,receiving,YDS,0
2024,4429955,Will Howard,QB,Ohio State,Big Ten,receiving,YPR,0.0
2024,4431498,Jayden Ballard,WR,Ohio State,Big Ten,receiving,LONG,12
2024,4431498,Jayden Ballard,WR,Ohio State,Big Ten,receiving,REC,2
2024,4431498,Jayden Ballard,WR,Ohio State,Big Ten,receiving,TD,0
2024,4431498,Jayden Ballard,WR,Ohio State,Big Ten,receiving,YDS,18
2024,4431498,Jayden Ballard,WR,Ohio State,Big Ten,receiving,YPR,9.0
2024,4432710,TreVeyon Henderson,RB,Ohio State,Big Ten,receiving,LONG,75
2024,4432710,TreVeyon Henderson,RB,Ohio State,Big Ten,receiving,REC,27
2024,4432710,TreVeyon Henderson,RB,Ohio State,Big Ten,receiving,TD,1
2024,4432710,TreVeyon Henderson,RB,Ohio State,Big Ten,receiving,YDS,284
2024,4432710,TreVeyon Henderson,RB,Ohio State,Big Ten,receiving,YPR,10.5
2024,4567750,Emeka Egbuka,WR,Ohio State,Big Ten,receiving,LONG,68
2024,4567750,Emeka Egbuka,WR,Ohio State,Big Ten,receiving,REC,81
2024,4567750,Emeka Egbuka,WR,Ohio State,Big Ten,receiving,TD,10
2024,4567750,Emeka Egbuka,WR,Ohio State,Big Ten,receiving,YDS,1011
2024,4567750,Emeka Egbuka,WR,Ohio State,Big Ten,receiving,YPR,12.5
2024,4685256,Kojo Antwi,WR,Ohio State,Big Ten,receiving,LONG,8
2024,4685256,Kojo Antwi,WR,Ohio State,Big Ten,receiving,REC,1
2024,4685256,Kojo Antwi,WR,Ohio State,Big Ten,receiving,TD,0
2024,4685256,Kojo Antwi,WR,Ohio State,Big Ten,receiving,YDS,8
2024,4685256,Kojo Antwi,WR,Ohio State,Big Ten,receiving,YPR,8.0
