reception_player,team,Receptions,Yards,Touchdowns
Danny Scudero,San José State,85,1189.0,8.0
Marquis Buchanan,Rhode Island,74,1189.0,4.0
Skyler Bell,UConn,93,1130.0,6.0
Makai Lemon,USC,74,1110.0,5.0
KJ Duff,Rutgers,61,1102.0,3.0
Wyatt Young,North Texas,60,1048.0,6.0
Ryan Upp,Morehead State,78,1043.0,3.0
Joshua Derry,Monmouth,68,1033.0,7.0
Eric McAlister,TCU,58,1028.0,7.0
Beau Sparks,Texas State,78,1007.0,3.0
Jalen Jones,Alabama State,45,999.0,6.0
Chase Hendricks,Ohio,69,994.0,4.0
Duce Robinson,Florida State,51,991.0,3.0
Jimmy Kibble,Georgetown,62,986.0,3.0
Lewis Bond,Boston College,85,977.0,0.0
Chris Brazzell II,Tennessee,61,968.0,8.0
Easton Messer,Florida Atlantic,89,955.0,1.0
Ted Hurst,Georgia State,66,949.0,3.0
Max Tomczak,Youngstown State,61,944.0,3.0
Jared Richardson,Pennsylvania,74,943.0,4.0
Camden Brown,Georgia Southern,58,939.0,8.0
Chris Bell,Louisville,72,924.0,6.0
Carver Cheeks,Northern Colorado,70,910.0,3.0
Malachi Toney,Miami,81,901.0,3.0
Nik McMillan,Buffalo,60,901.0,1.0
Bryce Lance,North Dakota State,46,895.0,3.0
Cooper Barkate,Duke,60,879.0,4.0
Jeremiah Smith,Ohio State,68,874.0,6.0
Brenen Thompson,Mississippi State,49,873.0,3.0
Iverson Hooks,UAB,69,869.0,5.0
Reed Swanson,Colgate,53,866.0,3.0
Jacob De Jesus,California,94,865.0,1.0
Junior Vandeross,Toledo,71,854.0,7.0
Cortez Braham,Memphis,62,851.0,5.0
Corey Rucker,Arkansas State,65,849.0,1.0
Michael Shulikov,Idaho State,49,847.0,4.0
Nico Brown,Yale,54,843.0,3.0
Chris Lofton,Gardner-Webb,49,841.0,2.0
Anthony Smith,East Carolina,56,838.0,3.0
Braden Pegan,Utah State,59,829.0,2.0
Hank Beatty,Illinois,63,825.0,2.0
Javon Gipson,Abilene Christian,51,822.0,2.0
Mario Craver,Texas A&M,52,819.0,4.0
Geoffrey Jamiel,Lehigh,61,819.0,4.0
Cole Monach,San Diego,53,815.0,3.0
Eli Heidenreich,Navy,40,809.0,4.0
Parker Kingston,BYU,57,806.0,2.0
Jaden Bradley,UNLV,50,804.0,1.0
Christian Jourdain,East Texas A&M,59,804.0,2.0
Devin Voisin,South Alabama,68,799.0,4.0
Trell Harris,Virginia,55,795.0,3.0
Jalen Walthall,Incarnate Word,61,791.0,2.0
Kamryn Perry,Miami (OH),33,790.0,3.0
Victor Snow,Buffalo,59,783.0,5.0
Tsion Nunnally,Idaho State,59,781.0,4.0
Kevin Concepcion,Texas A&M,52,781.0,5.0
Chauncy Cobb,Arkansas State,68,780.0,0.0
Michael Briscoe,Cal Poly,43,779.0,7.0
Jay Rockwell,Prairie View A&M,49,779.0,1.0
Cam Pedro,Southeast Missouri State,63,775.0,3.0
Isaiah Sategna,Oklahoma,60,771.0,5.0
Kyre Duplessis,Delaware,54,762.0,2.0
Omar Cooper Jr.,Indiana,55,761.0,7.0
Vinson Davis,Southern Illinois,53,760.0,3.0
Sean Wilson,Delaware,56,760.0,0.0
Trent Walker,Oregon State,59,758.0,0.0
Mike Matthews,Tennessee,48,753.0,2.0
Keshaun Singleton,South Florida,44,752.0,3.0
Braylon Staley,Tennessee,61,751.0,3.0
Carnell Tate,Ohio State,43,750.0,6.0
Emmanuel Henderson Jr.,Kansas,43,746.0,4.0
Denzel Boston,Washington,53,738.0,6.0
Owen Sweeney,VMI,42,737.0,6.0
Daniel Sobkowicz,Illinois State,53,737.0,6.0
Kyri Shoels,San José State,57,737.0,2.0
Brayden Munroe,Northern Colorado,52,735.0,2.0
Ja'Kobi Lane,USC,48,735.0,3.0
Kris Hutson,Arizona,55,730.0,2.0
Cincere Gill,Presbyterian,31,722.0,4.0
Ian Strong,Rutgers,51,722.0,2.0
Kevin Coleman Jr.,Missouri,63,719.0,1.0
Gavin Lochow,Dayton,58,719.0,5.0
Evan James,Furman,60,719.0,2.0
O'Mega Blake,Arkansas,54,714.0,3.0
Kylon Harris,Stephen F. Austin,60,713.0,5.0
Chase Roberts,BYU,45,713.0,5.0
Michael Wortham,Montana,50,710.0,4.0
Caleb Douglas,Texas Tech,48,708.0,1.0
Matthew Henry,Western Kentucky,45,707.0,3.0
Cameron Dorner,North Texas,46,707.0,3.0
Peyton Kramer,Tarleton State,42,707.0,4.0
Jaylon Domingeaux,SE Louisiana,46,706.0,6.0
Chance Peterson,North Carolina Central,46,705.0,1.0
Jalen Smith,Lindenwood,36,705.0,1.0
Anthony Evans III,Mississippi State,59,705.0,2.0
TJ Speight,Monmouth,67,705.0,1.0
Amare Thomas,Houston,53,704.0,2.0
Isaiah Fuhrmann,Elon,40,701.0,4.0
Pofele Ashlock,Hawai'i,61,701.0,5.0
Jordyn Tyson,Arizona State,59,701.0,8.0
Germie Bernard,Alabama,51,700.0,6.0
Randall King,Campbell,58,700.0,4.0
